ASV	Functional_Tax_Group	e2m	m2y	e2m2y	padj	coef	method	trait	date
asv_000004	Ralstonia pickettii	2.56664400721807e-06	2.37636578774847e-05	2.37636578774847e-05	0.000118818289387423	0.125662620027615	mix_linear	VEG	Sept5
asv_000004	Ralstonia pickettii	0.000155108467720678	2.22044604925031e-16	0.000155108467720678	0.000775542338603388	0.0104115784748988	fixed_bic	VEG	Sept5
asv_000007	Ralstonia pickettii	0.000900686290415852	0.000468544749740119	0.000900686290415852	0.00810617661374267	0.011374794296033	fixed_bic	MGR	Aug12
asv_000007	Ralstonia pickettii	0.000900686290415852	0.00117209009351882	0.00117209009351882	0.00703254056111291	0.00993797144053159	fixed_bic	VARI	Aug12
asv_000007	Ralstonia pickettii	0.000900686290415852	0.00073619989915974	0.000900686290415852	0.00810617661374267	0.0055048506958326	fixed_bic	NGR	Aug12
asv_000007	Ralstonia pickettii	8.49184965234784e-06	0	8.49184965234784e-06	2.54755489570435e-05	0.00550848480202261	mix_shrink	VARI	Aug12
asv_000007	Ralstonia pickettii	8.43520652549223e-06	0	8.43520652549223e-06	2.53056195764767e-05	0.00539766198757635	mix_linear	VARI	Aug12
asv_000011	Ralstonia pickettii	0.0001240929748485	0	0.0001240929748485	0.000248185949697	0.0025826388172325	mix_linear	GLI	Sept5
asv_000011	Ralstonia pickettii	0.000124092974848278	3.49297992863207e-06	0.000124092974848278	0.000496371899393111	0.00482150457269162	mix_linear	VARI	Aug22
asv_000011	Ralstonia pickettii	0.0001240929748485	0	0.0001240929748485	0.000248185949697	0.00398028150533303	mix_linear	NGR	Aug22
asv_000011	Ralstonia pickettii	0.0001240929748485	3.60707019808615e-11	0.0001240929748485	0.000248185949697	0.00800782671651806	mix_linear	VARI	Sept5
asv_000011	Ralstonia pickettii	0.000124092974848278	5.20266125758617e-05	0.000124092974848278	0.000620464874241389	0.0104957520470245	mix_linear	MGR	Sept5
asv_000011	Ralstonia pickettii	0.0001240929748485	1.11022302462516e-15	0.0001240929748485	0.000248185949697	0.00455344606299787	mix_linear	NGR	Sept5
asv_000011	Ralstonia pickettii	0.000124783078134016	0	0.000124783078134016	0.000249566156268033	0.0079722264195266	mix_shrink	MGR	Aug22
asv_000011	Ralstonia pickettii	0.000124783078134016	3.04660741079488e-11	0.000124783078134016	0.000249566156268033	0.00800447133535106	mix_shrink	VARI	Sept5
